Restaurant Name,City,Area,Cuisine Type,Cost for Two,Ratings
Dutchman Portz,Delhi-Ncr,"Spectrum Metro Mall, Noida","Italian, Chinese",2200,4.0
Kebabs & Curries Company,Delhi-Ncr,"Sector 31, Gurgaon",Indian,1000,4.2
Cecilia’s Pizzeria,Delhi-Ncr,"Rajouri Garden, West Delhi",Pizza,1500,4.4
Cibo,Delhi-Ncr,"Sector 50, Gurgaon",Multicuisine,1200,4.6
Wow! Momo,Delhi-Ncr,"Karol Bagh, Central Delhi",Momos,400,4.2
Drums of Heaven,Delhi-Ncr,"Green Park, South Delhi",Chinese,900,4.5
Ministry of Beer,Delhi-Ncr,"Indirapuram, Ghaziabad",Multicuisine,2500,4.6
Informal by Imperfecto,Delhi-Ncr,"Janpath, Connaught Place (CP), Central Delhi",Multicuisine,1000,3.5
1911 Restaurant,Delhi-Ncr,"The Imperial New Delhi, Lobby Level Janpath Road, New Delhi","European, Indian",3450,4.6
Cafe Pride,Delhi-Ncr,"Pride Plaza Hotel, New Delhi",Multicuisine,2000,4.0
Float By Duty Free,Delhi-Ncr,"Spectrum Metro Mall, Noida","Cocktail Menu, Multicuisine",1500,3.6
Royal Bistro Restaurant,Delhi-Ncr,"The Royal Plaza, New Delhi",Multicuisine,3000,4.0
Prego,Delhi-Ncr,"The Westin, Gurgaon",Italian,3000,4.3
Clock Tower,Delhi-Ncr,"Golf Course Road, Gurgaon",Multicuisine,2700,4.6
Beyond Beer,Delhi-Ncr,"DLF Cyber City, Gurgaon",Italian,1200,5.0
Curry House CoCo Ichibanya,Delhi-Ncr,"DLF Cyber City, Gurgaon","Japanese, Pan Asian",1000,4.7
Quoin Bar,Delhi-Ncr,Novotel New Delhi Aerocity-An AccorHotels Brand,"Finger Food, Cocktail Menu",3450,4.8
United Coffee House Rewind,Delhi-Ncr,"DLF Mall of India, Sector 18, Noida",Multicuisine,1500,4.2
Kunga Cafe & Restaurant,Delhi-Ncr,"Majnu ka Tila, North Delhi",Multicuisine,1200,4.3
Chicago Pizza,Delhi-Ncr,"Rajinder Nagar, Central Delhi",Pizza,200,3.6
San Gimignano,Delhi-Ncr,"The Imperial New Delhi, Lobby Level Janpath Road, New Delhi",Italian,3450,4.9
Tubata,Delhi-Ncr,"Saraswati Vihar, Pitampura, North Delhi",Multicuisine,2400,3.1
Soul Pantry,Delhi-Ncr,"Andaz Delhi, Aerocity",Healthy Food,2000,4.8
Porche Brewery Cocktail Bar & Kitchen,Delhi-Ncr,"Sector 42, Gurgaon",Multicuisine,1000,4.5
Spice It Bar,Delhi-Ncr,"Hotel IBIS, Gurgaon",Multicuisine,1500,4.5
Govardhan Vegetarian,Delhi-Ncr,"Kamla Nagar, North Delhi",Multicuisine,500,4.5
Chowman,Delhi-Ncr,"Sector 31, Gurgaon","Chinese, Thai",750,4.5
Matram,Delhi-Ncr,"Reliance Mall, Dwarka",Regional Indian,1500,4.5
Rubarru,Delhi-Ncr,"Sector 142, Noida",Multicuisine,1200,4.0
The Culinary Court,Delhi-Ncr,"Park Ascent, Noida",North Indian,2199,4.4
Amritsar Haveli,Delhi-Ncr,"Sector 63, Noida",North Indian,600,4.6
Martini's,Delhi-Ncr,"M3M Urbana, Sector 67, Gurgaon","Indian, Asian, Continental",1800,4.0
Runway1,Delhi-Ncr,"Metro Walk Mall, Rohini",Multicuisine,1200,3.8
Pindi,Delhi-Ncr,"Pandara Road Market, Central Delhi","North Indian, Chinese",2400,4.7
For Earth's Sake,Delhi-Ncr,"DLF South Point Mall, Golf Course Road",European,1200,4.6
Pop Seoul,Delhi-Ncr,"Greater Kailash (GK) 1, South Delhi","Korean, Pan Asian",1000,3.4
CAD Techbar & Craftkitchen,Delhi-Ncr,"32nd Avenue, Gurgaon","Cocktail Menu, Modern Indian",1800,4.2
Circle,Delhi-Ncr,Radisson Hotel Sector 29 Gurugram,Multicuisine,2000,4.4
Ryu Rooftop Bar,Delhi-Ncr,"32nd Avenue, Gurgaon","Cocktail Menu, Multicuisine",2000,4.4
Bizou-Bizou,Delhi-Ncr,Worldmark 2,Global Cuisine,2500,4.2
Broadway,Delhi-Ncr,"Radisson Blu, Faridabad",Multicuisine,3000,4.4
Quaff Brewing Co.,Delhi-Ncr,"Sector 49, Gurgaon",Multicuisine,2000,4.8
The Sunday House,Delhi-Ncr,"Punjabi Bagh, West Delhi","Chinese, Indian, Italian",1400,4.2
Dearie Bar Brewery Kitchen,Delhi-Ncr,"Gardens Galleria Mall, Sector 38 Noida",Multicuisine,1500,3.9
FIO Cookhouse and Bar,Delhi-Ncr,"Nehru Place, South Delhi","European, Pizza",2700,4.5
NYC,Delhi-Ncr,"Radisson Blu Plaza Delhi Airport, Mahipalpur",Multicuisine,3000,4.4
Havemore,Delhi-Ncr,"Cyber Hub, Gurgaon",North Indian,2000,4.4
Café Pluck,Delhi-Ncr,Pullman New Delhi Aerocity-An AccorHotels Brand,Multicuisine,3450,4.7
