Restaurant Name,City,Area,Cuisine Type,Cost for Two,Ratings
Out Of The Box,delhi-ncr,"Khan Market, Central Delhi",Multicuisine,₹1500 for two,4.3
Bheemeshwara - A South Indian Delicacy,delhi-ncr,"Connaught Place (CP), Central Delhi",South Indian,₹1000 for two,4.6
Xero Degrees,delhi-ncr,"Karol Bagh, Central Delhi",Multicuisine,₹800 for two,4.8
Melt House,delhi-ncr,"Greater Kailash (GK) 2, South Delhi",Cafe,₹1400 for two,4.5
Yes Minister,delhi-ncr,"Aurobindo Marg, South Delhi",Multicuisine,₹900 for two,4.5
Pulp The Delicacy,delhi-ncr,"Connaught Place (CP), Central Delhi",NA,₹1200 for two,3.0
Padmanabham,delhi-ncr,"Rajendra Place, Central Delhi","Chinese, North Indian, South Indian",₹600 for two,3.0
Elan,delhi-ncr,"The Lodhi, New Delhi",Casual Eclectic,₹3000 for two,4.6
Savannah Bar,delhi-ncr,"Radisson Blu Plaza Delhi Airport, Mahipalpur","Multicuisine, Cocktail Menu",₹2000 for two,4.6
Filmy Bar & Cafe,delhi-ncr,"Paharganj, Central Delhi",Multicuisine,₹1200 for two,2.8
KOKKINOS,delhi-ncr,"Ramada Gurgaon Central, Gurgaon",Multicuisine,₹2000 for two,4.7
Soy X Neung Roi,delhi-ncr,"Radisson Blu Plaza Delhi Airport, Mahipalpur",Pan Asian,₹3000 for two,4.6
Sultan,delhi-ncr,"Radisson Blu Kaushambi Delhi NCR, Ghaziabad","Cocktail Menu, Multicuisine",₹4000 for two,4.4
The Barbeque Times,delhi-ncr,"Sector 51, Gurgaon",Multicuisine,₹1800 for two,4.2
Ivoryy Fusion Bar,delhi-ncr,"Connaught Place (CP), Central Delhi",Pan Asian,₹2000 for two,4.0
Cling,delhi-ncr,"GTB Nagar, North Delhi",Multicuisine,₹1500 for two,4.0
On Kourse All Day Dining,delhi-ncr,"Karma Lakelands, Manesar",Multicuisine,₹1000 for two,4.5
Bobachee by Chef Yuvraj Kohli,delhi-ncr,"South Extension 2, South Delhi",Multicuisine,₹1800 for two,4.2
COCCO N CURRY,delhi-ncr,"Sapphire 90 Mall, Sector 90, Gurgaon",Multicuisine,₹1000 for two,5.0
Sly Granny,delhi-ncr,"Khan Market, Central Delhi","European, Cocktail Menu",₹2000 for two,4.5
Zoca Cafe,delhi-ncr,"Sector 37, Gurgaon","Indian, Italian",₹1000 for two,4.3
Gallery Cafe,delhi-ncr,"Hyatt Place, Gurgaon",Multicuisine,₹1500 for two,4.2
Desi Firangi by Clay Inn Hotel,delhi-ncr,"Sector 49, Gurgaon",Multicuisine,₹1200 for two,4.6
Cascades,delhi-ncr,"The Grand, New Delhi",Multicuisine,₹2000 for two,4.4
Barista Coffee,delhi-ncr,"Regal Building, Central Delhi",NA,₹600 for two,3.5
Indyaki,delhi-ncr,"Radisson Blu, Paschim Vihar",North Indian,₹3600 for two,4.8
Cafe Knosh,delhi-ncr,"The Leela Ambience Convention Hotel, New Delhi",Multicuisine,₹2000 for two,4.3
64/6,delhi-ncr,"Country Inn & Suites by Radisson, Ghaziabad",Multicuisine,₹5200 for two,4.7
7 Barrel Brew Pub,delhi-ncr,"DT Mega Mall, Golf Course Road","Cocktail Menu, Multicuisine",₹1600 for two,4.4
Brewocrat - Brewery Skybar & Kitchen,delhi-ncr,"South City 2, Gurgaon","Cocktail Menu, Multicuisine",₹2000 for two,4.5
